,Paper,Referee1,Referee2,Referee3,Referee4,Referee5,Referee6,Referee7,Referee8,Referee9,Referee10,Referee11,Referee12,Referee13,Referee14,Referee15,Referee16,Referee17,Referee18,Referee19,Referee20,Referee21
0,Paper1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Paper2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2,Paper3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Paper4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Paper5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
5,Paper6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Paper7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Paper8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Paper9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
9,Paper10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
10,Paper11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
11,Paper12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
12,Paper13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
13,Paper14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14,Paper15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15,Paper16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,Paper17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Paper18,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Paper19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
19,Paper20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
20,Paper21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21,Paper22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
22,Paper23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
23,Paper24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
24,Paper25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
25,Paper26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Paper27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
