Day,Source,Destination,Total Cargo,Aircraft w/ Cargo,Leftover Cargo,Aircraft Repositioning,Demand,Route,,Repositioning Cost
1,A,B,275,185,175,0,100,AB,AB,0.0
5,A,C,50,50,0,0,50,AC,AC,0.0
5,A,B,300,125,0,0,300,AB,AB,0.0
4,A,C,50,50,0,0,50,AC,AC,0.0
4,A,B,400,400,0,0,400,AB,AB,0.0
3,A,B,100,100,0,0,100,AB,AB,0.0
2,A,C,50,50,0,0,50,AC,AC,0.0
3,A,C,50,50,0,0,50,AC,AC,0.0
2,A,B,290,290,90,0,200,AB,AB,0.0
1,A,C,50,50,0,0,50,AC,AC,0.0
5,B,C,25,25,0,380,25,BC,BC,1140.0
4,B,A,25,25,0,0,25,BA,BA,0.0
4,B,C,25,25,0,350,25,BC,BC,1050.0
1,B,C,25,25,0,185,25,BC,BC,555.0
3,B,A,25,25,0,165,25,BA,BA,1155.0
1,B,A,25,25,0,275,25,BA,BA,1925.0
5,B,A,25,25,0,170,25,BA,BA,1190.0
2,B,A,25,25,0,65,25,BA,BA,455.0
2,B,C,25,25,0,485,25,BC,BC,1455.0
3,B,C,25,25,0,275,25,BC,BC,825.0
3,C,A,40,40,0,220,40,CA,CA,1320.0
2,C,B,200,200,0,0,200,CB,CB,0.0
4,C,B,200,200,0,0,200,CB,CB,0.0
3,C,B,300,300,0,0,300,CB,CB,0.0
1,C,A,40,40,0,0,40,CA,CA,0.0
2,C,A,40,40,0,20,40,CA,CA,120.0
4,C,A,40,40,0,110,40,CA,CA,660.0
5,C,B,400,385,0,0,400,CB,CB,0.0
1,C,B,415,415,15,0,400,CB,CB,0.0
5,C,A,40,40,0,0,40,CA,CA,0.0
