Day,Source,Destination,Total Cargo,Aircraft w/ Cargo,Leftover Cargo,Aircraft Repositioning,Demand,Route,,Repositioning Cost
1,A,B,105,15,5,0,100,AB,AB,0.0
1,A,C,50,50,0,0,50,AC,AC,0.0
5,A,C,50,50,150,0,50,AC,AC,0.0
5,A,B,300,295,0,0,300,AB,AB,0.0
2,A,B,290,290,90,0,200,AB,AB,0.0
2,A,C,50,50,0,0,50,AC,AC,0.0
4,A,C,200,50,0,0,50,AC,AC,0.0
4,A,B,400,400,0,0,400,AB,AB,0.0
3,A,B,100,100,0,0,100,AB,AB,0.0
3,A,C,50,50,0,0,50,AC,AC,0.0
5,B,C,25,25,0,550,25,BC,BC,4950.0
5,B,A,25,25,25,0,25,BA,BA,0.0
4,B,C,25,25,0,180,25,BC,BC,1620.0
4,B,A,50,25,0,280,25,BA,BA,3920.0
3,B,C,25,25,0,165,25,BC,BC,1485.0
3,B,A,25,25,0,295,25,BA,BA,4130.0
2,B,C,25,25,0,465,25,BC,BC,4185.0
2,B,A,25,25,0,85,25,BA,BA,1190.0
1,B,C,25,25,0,185,25,BC,BC,1665.0
1,B,A,25,25,0,275,25,BA,BA,3850.0
3,C,A,40,40,0,90,40,CA,CA,1080.0
3,C,B,300,300,0,110,300,CB,CB,330.0
2,C,B,200,200,0,20,200,CB,CB,60.0
2,C,A,40,40,0,0,40,CA,CA,0.0
4,C,A,25,40,0,0,40,CA,CA,0.0
4,C,B,200,200,0,0,200,CB,CB,0.0
1,C,B,585,585,185,0,400,CB,CB,0.0
1,C,A,40,40,0,0,40,CA,CA,0.0
5,C,A,40,40,-15,0,40,CA,CA,0.0
5,C,B,400,215,0,0,400,CB,CB,0.0
